Group,Label,Description,Format,Summary,Instruction,States,TBit,UsedIn
System Control,STC_L,Store Control Register (Long),"STC.L SR,@-Rn","Rn  4 → Rn, SR → (Rn)",0100nnnn00000011,2,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,STC_L,Store Control Register (Long),"STC.L SSR,@-Rn","Rn  4 → Rn, SSR → (Rn)",0100nnnn00110011,2,--," sh3 sh3e sh4 sh4a "
System Control,STC_L,Store Control Register (Long),"STC.L VBR,@-Rn","Rn  4 → Rn, VBR → (Rn)",0100nnnn00100011,2,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,STS,Store System Register,"STS FPSCR,Rn",FPSCR → Rn,0000nnnn01101010,1,--," sh2a sh2e sh3e sh4 sh4a "
System Control,STS,Store System Register,"STS FPUL,Rn",FPUL → Rn,0000nnnn01011010,1,--," sh2a sh2e sh3e sh4 sh4a "
System Control,STS,Store System Register,"STS MACH,Rn",MACH → Rn,0000nnnn00001010,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,STS,Store System Register,"STS MACL,Rn",MACL → Rn,0000nnnn00011010,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,STS,Store System Register,"STS PR,Rn",PR → Rn,0000nnnn00101010,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,STS_L,Store System Register (Long),"STS.L FPSCR,@-Rn","Rn  4 → Rn, FPSCR → (Rn)",0100nnnn01100010,1,--," sh2a sh2e sh3e sh4 sh4a "
System Control,STS_L,Store System Register (Long),"STS.L FPUL,@-Rn","Rn  4 → Rn, FPUL → (Rn)",0100nnnn01010010,1,--," sh2a sh2e sh3e sh4 sh4a "
System Control,STS_L,Store System Register (Long),"STS.L MACH,@-Rn","Rn  4 → Rn, MACH → (Rn)",0100nnnn00000010,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,STS_L,Store System Register (Long),"STS.L MACL,@-Rn","Rn  4 → Rn, MACL → (Rn)",0100nnnn00010010,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,STS_L,Store System Register (Long),"STS.L PR,@-Rn","Rn  4 → Rn, PR → (Rn)",0100nnnn00100010,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,SUB,Subtract Binary,"SUB Rm,Rn",Rn  Rm → Rn,0011nnnnmmmm1000,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,SUBC,Subtract with Carry,"SUBC Rm,Rn","Rn  Rm  T → Rn, borrow → T",0011nnnnmmmm1010,1,Borrow," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Arithmetic,SUBV,Subtract with V Flag Underflow Check,"SUBV Rm,Rn","Rn  Rm → Rn, underflow → T",0011nnnnmmmm1011,1,Underflow," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,SWAP_B,Swap (Byte),"SWAP.B Rm,Rn",Rm → swap lower 2 bytes → Rn,0110nnnnmmmm1000,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,SWAP_W,Swap (Word),"SWAP.W Rm,Rn",Rm → swap upper/lower words → Rn,0110nnnnmmmm1001,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,SYNCO,Synchronize Data Operation,SYNCO,used to synchronize data operations,0000000010101011,undef,--," sh4a "
Logic Operation,TAS_B,Test And Set (Byte),TAS.B @Rn,"If (Rn) = 0, 1 → T, else 0 → T 1 → MSB of (Rn)",0100nnnn00011011,5,Test," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
System Control,TRAPA,Trap Always,TRAPA #imm,"PC + 2 → SPC, SR → SSR, #imm << 2 → TRA, H'160 → EXPEVT, VBR + H'0100 → PC",11000011iiiiiiii,7,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Logic Operation,TST,Test Logical,"TST #imm,R0","R0 & imm; if result is 0, 1 → T, else 0 → T",11001000iiiiiiii,1,Test," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Logic Operation,TST,Test Logical,"TST Rm,Rn","Rn & Rm; if result is 0, 1 → T, else 0 → T",0010nnnnmmmm1000,1,Test," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Logic Operation,TST_B,Test Logical (Byte),"TST.B #imm,@(R0,GBR)","(R0 + GBR) & imm; if result is 0, 1 → T, else 0 → T",11001100iiiiiiii,3,Test," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Logic Operation,XOR,Exclusive OR Logical,"XOR #imm,R0",R0 ∧ imm → R0,11001010iiiiiiii,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Logic Operation,XOR,Exclusive OR Logical,"XOR Rm,Rn",Rn ∧ Rm → Rn,0010nnnnmmmm1010,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Logic Operation,XOR_B,Exclusive OR Logical (Byte),"XOR.B #imm,@(R0,GBR)",(R0 + GBR) ∧ imm → (R0 + GBR),11001110iiiiiiii,4,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
Data Transfer,XTRCT,Extract,"XTRCT Rm,Rn",Middle 32 bits of Rm:Rn → Rn,0010nnnnmmmm1101,1,--," sh sh2 sh2a sh2e sh3 sh3e sh4 sh4a "
